Event Id,Restaurant Id,Restaurant Name,Photo URL,Event Title,Event Start Date,Event End Date
322331,18649486,The Drunken Botanist,https://b.zmtcdn.com/data/zomato_events/photos/5a1/ac34cf3c271c9052e9d248c243df65a1_1551852711.jpg,"BackToBasic Wednesdays !!


",2019-03-06,2019-08-28
332812,308322,Hauz Khas Social,https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg,Live 20/20 Match Screenings,2019-03-29,2019-05-23
116096,18466951,Jungle Jamboree,https://b.zmtcdn.com/data/zomato_events/photos/847/acb0693c612ec13c15e618d4bf3cf847_1507619388.jpg,Festive Food Bonanza || Special Buffet Prices starting @ Rs. 499 + || Full Day Alacarte,2019-01-21,2019-05-31
161417,18466951,Jungle Jamboree,https://b.zmtcdn.com/data/zomato_events/photos/21a/7db6ab62451f0c3b57f0b17a42aaa21a_1552391084.jpg,7 Course High Tea Birthday & Kitty Parties @ Rs. 499 + onwards with Unlimited Aerated Drinks,2019-01-21,2019-05-31
332812,18246991,Odeon Social,https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg,Live 20/20 Match Screenings,2019-03-29,2019-05-23
292840,18571735,Dum Laga Ke Haishaa,https://b.zmtcdn.com/data/zomato_events/photos/647/21460fdc477d489aa14b5737ad8b4647_1545986849.jpg,Corporate Lunch Box ,2018-12-28,2019-12-31
297761,18571735,Dum Laga Ke Haishaa,https://b.zmtcdn.com/data/zomato_events/photos/b9a/c78333277eeb35b03054832d554c8b9a_1547094754.jpeg,Happy Hour! ,2019-01-10,2019-12-31
316852,18571735,Dum Laga Ke Haishaa,https://b.zmtcdn.com/data/zomato_events/photos/ae1/8f114d0fd22610eb5fc24586f9b14ae1_1551418526.jpeg,Food Festival,2019-02-21,2019-05-31
321358,18571735,Dum Laga Ke Haishaa,https://b.zmtcdn.com/data/zomato_events/photos/c5c/c89bf2570b91fe78a351cab7af4d2c5c_1551693702.jpg,Shah Jahani e Thali (3-4 packs),2019-03-04,2019-08-31
328527,18571735,Dum Laga Ke Haishaa,https://b.zmtcdn.com/data/zomato_events/photos/7fe/5f5902c7c2d51ee824f0dbcb357257fe_1553068836.jpeg,Game Fever at DLKH!,2019-03-20,2019-07-31
260569,18398880,JW Kitchen - JW Marriott Hotel Kolkata,https://b.zmtcdn.com/data/zomato_events/photos/cfa/2ada6e3ed9f4f3dea6df099b8d04dcfa_1538636463.jpg,Corporate Buffet Dinner,2019-01-02,2019-09-30
332812,18522518,Vikhroli Social,https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg,Live 20/20 Match Screenings,2019-03-29,2019-05-23
233993,18397684,Craftbar,NA,Corporate Buffet Lunch at 199/-* (Monday to Friday) ,2019-01-09,2019-05-31
314235,18397684,Craftbar,https://b.zmtcdn.com/data/zomato_events/photos/418/97a6484d2dc532268d2af10c035f5418_1543641079.jpg,Saturday Live Band Night ,2019-02-14,2019-06-30
328877,18691230,Grandmama's Café,https://b.zmtcdn.com/data/zomato_events/photos/b62/0b4ae8502067707a163a39bf0d719b62_1553088932.jpg,IPL Hours at Grandmama's Cafe,2019-03-25,2019-05-19
277195,18706428,Byg Brewski Brewing Company,https://b.zmtcdn.com/data/zomato_events/photos/259/586be54addd8388ab52579d6121a5259_1542969506.jpeg,Sunday Brunch,2018-11-25,2019-12-29
279336,18706428,Byg Brewski Brewing Company,https://b.zmtcdn.com/data/zomato_events/photos/d72/e770dbc5f27c87b39dd848e0ac519d72_1543846758.jpg,Corporate Events,2018-11-29,2019-12-31
328860,18387426,The Black Pearl,https://b.zmtcdn.com/data/zomato_events/photos/34a/12bf034e5fcc97b727660358632de34a_1553086644.png,Cricket Season Specials at The Black Pearl Marathahalii,2019-03-20,2019-06-10
270216,57833,Big Pitcher,https://b.zmtcdn.com/data/zomato_events/photos/981/c27a588a41e431a0619c19edb6a14981_1541091518.jpg,New Food Menu Launch at Big Pitcher,2018-11-01,2020-10-31
319906,54162,The Black Pearl,https://b.zmtcdn.com/data/zomato_events/photos/406/044b2f0cf1a6fb0611477a28fc9fb406_1553421281.jpg,WEEKLY OFFERS,2019-02-28,2019-12-31
327964,54162,The Black Pearl,https://b.zmtcdn.com/data/zomato_events/photos/806/617ccb9d93febfad2b046fba05a5a806_1552977711.jpg,Circket  Fever ,2019-03-23,2019-05-12
332261,18537585,The Reservoire,https://b.zmtcdn.com/data/zomato_events/photos/c8f/8741b1909fbd644229e02d1194204c8f_1553772278.jpg,IPL Live Screening at The Reservoire,2019-03-28,2019-05-12
297581,18709627,Simon Says Brew Works,https://b.zmtcdn.com/data/zomato_events/photos/cec/f73a02fc69cf3c4d207373e9bac11cec_1547045966.jpg,LADIES NIGHT & BOLLYWOOD KARAOKE,2019-01-13,2019-07-28
328516,18709627,Simon Says Brew Works,https://b.zmtcdn.com/data/zomato_events/photos/41a/2bfbe5a35c208e706e77f53a3f01b41a_1553069189.jpg,IPL OFFERS WITH LIVE SCREENING,2019-03-23,2019-05-12
332812,18893197,FC Road Social,https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg,Live 20/20 Match Screenings,2019-03-29,2019-05-23
332116,18562250,Cafe Co2 Resto Lounge,NA,Live Cricket Screening @ Cafe CO2,2019-03-28,2019-05-19
332812,18657534,Viman Nagar Social,https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg,Live 20/20 Match Screenings,2019-03-29,2019-05-23
327542,18536004,Culture - पुणे,https://b.zmtcdn.com/data/zomato_events/photos/9f9/3cd9dbbfdc7ad22a7c24cd8fd83b39f9_1552899227.jpg,Ladies Night- Every Thursday,2019-03-18,2019-12-31
329193,18470497,84 Anjuna Shack,https://b.zmtcdn.com/data/zomato_events/photos/c00/3e732fea47fcc93cbd6a8dd939dbec00_1553174044.jpg,IPL T20 Match Screening,2019-03-23,2019-05-10
331960,18607685,Farzi Cafe,https://b.zmtcdn.com/data/zomato_events/photos/8fe/c6dcf42e6a98e81aeb8415370da9e8fe_1553694381.jpeg,IPL Live Screening!,2019-03-27,2019-05-05
331036,18801082,Farzi Café,NA,CRICKET FEVER - 2019,2019-03-26,2019-05-30
332493,18971277,Cafe Repertwahr,https://b.zmtcdn.com/data/zomato_events/photos/575/d460f0ddb1ca69ffac4e8b04550af575_1553793124.jpg,Enjoy live IPL with FBL,2019-03-28,2019-05-26
328996,18748726,The Night Jar,https://b.zmtcdn.com/data/zomato_events/photos/c19/15214588f9c5c7635b22d57ea026fc19_1553100842.jpg,IPL Live Screening,2019-03-23,2019-05-19
328614,18748726,The Night Jar,https://b.zmtcdn.com/data/zomato_events/photos/206/368820d2325f87659ebbfbe78c212206_1553074326.jpg,IPL SPECIALS,2019-03-25,2019-05-31
327296,18882467,Makeba - The Lounge Cafe,https://b.zmtcdn.com/data/zomato_events/photos/92a/89eb96918348080d937a8d033939992a_1552834955.jpg,Live Sports Screening @Makeba The Lounge Cafe,2019-03-23,2019-05-19
208222,18627705,I Love Sandwich House,NA,IPL Live screening,2019-03-23,2019-05-12
329816,18578691,Bogarosa,https://b.zmtcdn.com/data/zomato_events/photos/13d/29c6cfa980d563833d2c139ff719613d_1553330904.jpg,IPL LIVE SCREENING ,2019-03-23,2019-05-06
332812,124170,Sector 7 Social,https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg,Live 20/20 Match Screenings,2019-03-29,2019-05-23
225765,121425,Super Donuts,https://b.zmtcdn.com/data/zomato_events/photos/064/720c29fe8f576ddd228a383e54ab9064_1528621104.jpg,Dessert Time!!,2018-06-10,2019-06-10
